timestamp,stage,task
1764766824.612583,session_start,
1764766824.614116,concentration,
1764766825.616659,image,T1
1764766828.141516,action,T1
1764766831.649765,relax,
1764766834.155527,rest,
1764766835.656641,concentration,
1764766836.673185,image,T2
1764766839.182523,action,T2
1764766842.690334,relax,
1764766845.194552,rest,
1764766846.696122,concentration,
1764766847.697803,image,T3
1764766850.210082,action,T3
1764766853.711878,relax,
1764766856.222843,rest,
1764766857.733329,concentration,
1764766858.743639,image,T4
1764766861.256862,action,T4
1764766864.774257,relax,
1764766867.279389,rest,
1764766868.790313,concentration,
1764766869.798285,image,T5
1764766872.307276,action,T5
1764766875.820998,relax,
1764766878.334732,rest,
1764766879.849345,concentration,
1764766880.863055,image,T6
1764766883.381241,action,T6
1764766886.887824,relax,
1764766889.397114,rest,
1764766890.907081,concentration,
1764766891.909200,image,T7
1764766894.418643,action,T7
1764766897.928160,relax,
1764766900.442491,rest,
1764766901.954004,session_end,
