timestamp,stage,task
1764767058.519668,session_start,
1764767058.521205,concentration,
1764767059.531077,image,T1
1764767062.043304,action,T1
1764767065.557669,relax,
1764767068.061986,rest,
1764767069.572153,concentration,
1764767070.580123,image,T2
1764767073.086945,action,T2
1764767076.596526,relax,
1764767079.105472,rest,
1764767080.617695,concentration,
1764767081.620146,image,T3
1764767084.141583,action,T3
1764767087.657831,relax,
1764767090.168309,rest,
1764767091.679016,concentration,
1764767092.680039,image,T4
1764767095.190538,action,T4
1764767098.698493,relax,
1764767101.200638,rest,
1764767102.715636,concentration,
1764767103.727077,image,T5
1764767106.234013,action,T5
1764767109.748116,relax,
1764767112.254622,rest,
1764767113.770613,concentration,
1764767114.783469,image,T6
1764767117.297509,action,T6
1764767120.810959,relax,
1764767123.320915,rest,
1764767124.835207,concentration,
1764767125.847654,image,T7
1764767128.367663,action,T7
1764767131.881407,relax,
1764767134.393779,rest,
1764767135.909854,session_end,
