timestamp,stage,task
1764767370.489470,session_start,
1764767370.489470,concentration,
1764767371.494127,image,T1
1764767374.007915,action,T1
1764767377.522617,relax,
1764767380.034881,rest,
1764767381.543275,concentration,
1764767382.557690,image,T2
1764767385.065908,action,T2
1764767388.571156,relax,
1764767391.084907,rest,
1764767392.599991,concentration,
1764767393.614649,image,T3
1764767396.137742,action,T3
1764767399.643358,relax,
1764767402.152211,rest,
1764767403.663914,concentration,
1764767404.677360,image,T4
1764767407.194103,action,T4
1764767410.708565,relax,
1764767413.212977,rest,
1764767414.717087,concentration,
1764767415.729035,image,T5
1764767418.241198,action,T5
1764767421.748291,relax,
1764767424.257605,rest,
1764767425.766200,concentration,
1764767426.770857,image,T6
1764767429.292661,action,T6
1764767432.805026,relax,
1764767435.319481,rest,
1764767436.830317,concentration,
1764767437.846460,image,T7
1764767440.368198,action,T7
1764767443.884118,relax,
1764767446.393020,rest,
1764767447.903361,session_end,
