timestamp,stage,task
1764767136.517044,session_start,
1764767136.517044,concentration,
1764767137.529954,image,T1
1764767140.043154,action,T1
1764767143.553481,relax,
1764767146.063216,rest,
1764767147.575529,concentration,
1764767148.588756,image,T2
1764767151.102238,action,T2
1764767154.603936,relax,
1764767157.119165,rest,
1764767158.629215,concentration,
1764767159.637239,image,T3
1764767162.145347,action,T3
1764767165.655790,relax,
1764767168.165130,rest,
1764767169.677525,concentration,
1764767170.691457,image,T4
1764767173.199177,action,T4
1764767176.707000,relax,
1764767179.215468,rest,
1764767180.723817,concentration,
1764767181.738083,image,T5
1764767184.256838,action,T5
1764767187.767618,relax,
1764767190.270857,rest,
1764767191.782724,concentration,
1764767192.797256,image,T6
1764767195.306205,action,T6
1764767198.810553,relax,
1764767201.313366,rest,
1764767202.822713,concentration,
1764767203.840008,image,T7
1764767206.354933,action,T7
1764767209.877210,relax,
1764767212.388881,rest,
1764767213.896533,session_end,
