timestamp,stage,task
1764768462.385932,session_start,
1764768462.387308,concentration,
1764768463.394777,image,T1
1764768465.912117,action,T1
1764768469.421595,relax,
1764768471.924186,rest,
1764768473.434537,concentration,
1764768474.442994,image,T2
1764768476.954090,action,T2
1764768480.469438,relax,
1764768482.977600,rest,
1764768484.488463,concentration,
1764768485.502846,image,T3
1764768488.013227,action,T3
1764768491.521519,relax,
1764768494.033712,rest,
1764768495.540384,concentration,
1764768496.548449,image,T4
1764768499.055853,action,T4
1764768502.569008,relax,
1764768505.081953,rest,
1764768506.592756,concentration,
1764768507.602463,image,T5
1764768510.110513,action,T5
1764768513.623943,relax,
1764768516.137457,rest,
1764768517.643394,concentration,
1764768518.658351,image,T6
1764768521.168902,action,T6
1764768524.680283,relax,
1764768527.194235,rest,
1764768528.706588,concentration,
1764768529.720337,image,T7
1764768532.229181,action,T7
1764768535.733057,relax,
1764768538.240436,rest,
1764768539.752251,session_end,
