timestamp,stage,task
1764768150.400680,session_start,
1764768150.401717,concentration,
1764768151.408498,image,T1
1764768153.928957,action,T1
1764768157.442640,relax,
1764768159.958796,rest,
1764768161.465307,concentration,
1764768162.477274,image,T2
1764768164.994192,action,T2
1764768168.498115,relax,
1764768171.002862,rest,
1764768172.510028,concentration,
1764768173.519017,image,T3
1764768176.037735,action,T3
1764768179.554183,relax,
1764768182.064624,rest,
1764768183.570274,concentration,
1764768184.583596,image,T4
1764768187.094812,action,T4
1764768190.608934,relax,
1764768193.115788,rest,
1764768194.629303,concentration,
1764768195.646070,image,T5
1764768198.164872,action,T5
1764768201.673309,relax,
1764768204.181935,rest,
1764768205.692097,concentration,
1764768206.701310,image,T6
1764768209.208568,action,T6
1764768212.717164,relax,
1764768215.221514,rest,
1764768216.724191,concentration,
1764768217.740497,image,T7
1764768220.249488,action,T7
1764768223.754869,relax,
1764768226.265219,rest,
1764768227.772424,session_end,
