timestamp,stage,task
1764767526.506021,session_start,
1764767526.507059,concentration,
1764767527.517625,image,T1
1764767530.037004,action,T1
1764767533.553350,relax,
1764767536.062074,rest,
1764767537.574758,concentration,
1764767538.585743,image,T2
1764767541.101571,action,T2
1764767544.610820,relax,
1764767547.114290,rest,
1764767548.622334,concentration,
1764767549.633729,image,T3
1764767552.154662,action,T3
1764767555.657453,relax,
1764767558.170526,rest,
1764767559.682312,concentration,
1764767560.693693,image,T4
1764767563.214436,action,T4
1764767566.728536,relax,
1764767569.233724,rest,
1764767570.745795,concentration,
1764767571.759450,image,T5
1764767574.274602,action,T5
1764767577.789730,relax,
1764767580.299399,rest,
1764767581.811122,concentration,
1764767582.820980,image,T6
1764767585.328926,action,T6
1764767588.843515,relax,
1764767591.349741,rest,
1764767592.851503,concentration,
1764767593.860945,image,T7
1764767596.373833,action,T7
1764767599.885592,relax,
1764767602.390577,rest,
1764767603.905067,session_end,
