timestamp,stage,task
1764768540.359680,session_start,
1764768540.359680,concentration,
1764768541.368052,image,T1
1764768543.877959,action,T1
1764768547.385914,relax,
1764768549.894068,rest,
1764768551.403150,concentration,
1764768552.411257,image,T2
1764768554.931518,action,T2
1764768558.438462,relax,
1764768560.946893,rest,
1764768562.457577,concentration,
1764768563.466599,image,T3
1764768565.988721,action,T3
1764768569.498015,relax,
1764768572.005962,rest,
1764768573.519022,concentration,
1764768574.528841,image,T4
1764768577.036757,action,T4
1764768580.550910,relax,
1764768583.056275,rest,
1764768584.568606,concentration,
1764768585.578301,image,T5
1764768588.084596,action,T5
1764768591.600559,relax,
1764768594.111933,rest,
1764768595.620393,concentration,
1764768596.622049,image,T6
1764768599.130425,action,T6
1764768602.637152,relax,
1764768605.143797,rest,
1764768606.659358,concentration,
1764768607.671559,image,T7
1764768610.179597,action,T7
1764768613.682122,relax,
1764768616.192446,rest,
1764768617.703587,session_end,
