timestamp,stage,task
1764769164.418830,session_start,
1764769164.419833,concentration,
1764769165.429548,image,T1
1764769167.948824,action,T1
1764769171.464141,relax,
1764769173.977184,rest,
1764769175.488924,concentration,
1764769176.500623,image,T2
1764769179.008609,action,T2
1764769182.521952,relax,
1764769185.029536,rest,
1764769186.537415,concentration,
1764769187.547379,image,T3
1764769190.065194,action,T3
1764769193.568351,relax,
1764769196.075505,rest,
1764769197.589485,concentration,
1764769198.599939,image,T4
1764769201.117831,action,T4
1764769204.625535,relax,
1764769207.141686,rest,
1764769208.648879,concentration,
1764769209.664175,image,T5
1764769212.186017,action,T5
1764769215.700234,relax,
1764769218.203451,rest,
1764769219.713431,concentration,
1764769220.725069,image,T6
1764769223.246217,action,T6
1764769226.753230,relax,
1764769229.256945,rest,
1764769230.771921,concentration,
1764769231.784669,image,T7
1764769234.306794,action,T7
1764769237.813362,relax,
1764769240.318002,rest,
1764769241.820649,session_end,
